TRAFFIC_DATE,TRAFFIC_TIME,BOROUGH,ZIP_CODE,LATITUDE,LONGITUDE,LOCATION,ON_STREET_NAME,CROSS_STREET_NAME,OFF_STREET_NAME,CONTRIBUTING_FACTOR_VEHICLE,REFERENCE_ID,TRAFFIC_VEHICLE_TYPE_CODE 1,TRAFFIC_VEHICLE_TYPE_CODE2,Junction,Label,Results
29-08-20,15:40:00,BRONX,10466.0,40.8921,-73.83376,POINT (-73.83376 40.8921),PRATT AVENUE,STRANG AVENUE,,Passing Too Closely,4342908,Sedan,Station Wagon/Sport Utility Vehicle,4 Road Junction,1,1
29-08-20,21:00:00,BROOKLYN,11221.0,40.6905,-73.919914,POINT (-73.919914 40.6905),BUSHWICK AVENUE,PALMETTO STREET,,Reaction to Uninvolved Vehicle,4343555,Sedan,Sedan,Double Road Junction,0,0
29-08-20,18:20:00,,,40.8165,-73.946556,POINT (-73.946556 40.8165),8 AVENUE,,,Backing Unsafely,4343142,Station Wagon/Sport Utility Vehicle,,Tribble Road Junction,1,1
29-08-20,0:00:00,BRONX,10459.0,40.82472,-73.89296,POINT (-73.89296 40.82472),,,1047 SIMPSON STREET,Unsafe Speed,4343588,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Shopping Mall Road,0,0
29-08-20,17:10:00,BROOKLYN,11203.0,40.64989,-73.93389,POINT (-73.93389 40.64989),,,4609 SNYDER AVENUE,Failure to Yield Right-of-Way,4342953,Sedan,Sedan,Ghat Road Junction,0,0
29-08-20,3:29:00,,,40.68231,-73.84495,POINT (-73.84495 40.68231),WOODHAVEN BOULEVARD,,,Unspecified,4342721,Station Wagon/Sport Utility Vehicle,,Parallel Road Junction,1,1
29-08-20,19:30:00,BRONX,10459.0,40.825226,-73.88778,POINT (-73.88778 40.825226),LONGFELLOW AVENUE,EAST 165 STREET,,Unspecified,4343004,Station Wagon/Sport Utility Vehicle,,Lake Road Junction,1,1
29-08-20,0:00:00,,,40.80016,-73.93538,POINT (-73.93538 40.80016),2 AVENUE,,,Unsafe Lane Changing,4343342,Station Wagon/Sport Utility Vehicle,,4 Road Junction,0,0
29-08-20,19:50:00,BRONX,10466.0,40.894314,-73.86027,POINT (-73.86027 40.894314),EAST 233 STREET,CARPENTER AVENUE,,Unsafe Speed,4343030,Sedan,Station Wagon/Sport Utility Vehicle,Double Road Junction,0,0
29-08-20,9:20:00,QUEENS,11385.0,40.70678,-73.90888,POINT (-73.90888 40.70678),,,565 WOODWARD AVENUE,Unspecified,4343040,Sedan,,Mall Road Junction,1,1
29-08-20,0:07:00,QUEENS,11436.0,40.680237,-73.79774,POINT (-73.79774 40.680237),,,116-52 144 STREET,Driver Inattention/Distraction,4342743,Sedan,Station Wagon/Sport Utility Vehicle,3,0,0
29-08-20,14:00:00,QUEENS,11433.0,40.704422,-73.792854,POINT (-73.792854 40.704422),ARCHER AVENUE,MERRICK BOULEVARD,,Oversized Vehicle,4343448,Bus,Station Wagon/Sport Utility Vehicle,5,1,1
29-08-20,21:33:00,BRONX,10455.0,40.812965,-73.9161,POINT (-73.9161 40.812965),EAST 146 STREET,BROOK AVENUE,,Unspecified,4343143,Station Wagon/Sport Utility Vehicle,,3,0,0
29-08-20,22:53:00,BROOKLYN,11249.0,40.70166,-73.961464,POINT (-73.961464 40.70166),WILLIAMSBURG STREET WEST,WYTHE AVENUE,,Unspecified,4343074,Sedan,,2,0,0
29-08-20,4:14:00,,,40.835373,-73.842186,POINT (-73.842186 40.835373),WATERBURY AVENUE,,,Unspecified,4342716,Station Wagon/Sport Utility Vehicle,Motorcycle,1,1,1
29-08-20,6:35:00,,,40.65965,-73.773834,POINT (-73.773834 40.65965),ROCKAWAY BOULEVARD,NASSAU EXPRESSWAY,,Unspecified,4342746,Sedan,Station Wagon/Sport Utility Vehicle,3,0,0
29-08-20,13:00:00,BROOKLYN,11206.0,40.699707,-73.95718,POINT (-73.95718 40.699707),BEDFORD AVENUE,WALLABOUT STREET,,Driver Inattention/Distraction,4343077,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,4,0,0
29-08-20,10:30:00,QUEENS,11385.0,40.7122,-73.86208,POINT (-73.86208 40.7122),METROPOLITAN AVENUE,COOPER AVENUE,,Failure to Yield Right-of-Way,4342892,Station Wagon/Sport Utility Vehicle,Sedan,1,0,0
29-08-20,12:29:00,BRONX,10453.0,40.861862,-73.91282,POINT (-73.91282 40.861862),WEST FORDHAM ROAD,MAJOR DEEGAN EXPRESSWAY,,Pavement Slippery,4342833,Pick-up Truck,Station Wagon/Sport Utility Vehicle,5,1,1
29-08-20,10:35:00,BROOKLYN,11211.0,40.710957,-73.951126,POINT (-73.951126 40.710957),UNION AVENUE,GRAND STREET,,Driver Inattention/Distraction,4343073,Sedan,Station Wagon/Sport Utility Vehicle,2,1,1
29-08-20,13:55:00,BROOKLYN,11231.0,40.67473,-74.00029,POINT (-74.00029 40.67473),HAMILTON AVENUE,GARNET STREET,,Unsafe Lane Changing,4342786,Sedan,Sedan,4,1,1
29-08-20,0:30:00,,,40.66584,-73.75551,POINT (-73.75551 40.66584),BELT PARKWAY,,,Reaction to Uninvolved Vehicle,4342671,Sedan,Sedan,6,0,0
